"Date Time","Location","Direction","Allow","Reason","Card Name","User Type","Door","Device","Permission","Channel","Transaction ID"
"2024-09-01 08:15:00","อาคาร A ชั้น 3","IN",true,,"สมชาย ใจดี","EMPLOYEE","A3-01","Reader-01","EMP_A3","CARD","TX-000001"
"2024-09-01 08:16:10","อาคาร A ชั้น 3","OUT",true,,"สมชาย ใจดี","EMPLOYEE","A3-01","Reader-01","EMP_A3","CARD","TX-000002"
"2024-09-01 22:45:05","อาคาร B ชั้น 1","IN",false,"INVALID PIN","Visitor 01","VISITOR","B1-02","Reader-07","VIS_TEMP","PIN","TX-000003"
"2024-09-02 09:05:00","ห้องควบคุมความปลอดภัย A","IN",true,,"ดาบตำรวจ วิรัช","SECURITY","SEC-A-01","Reader-SecA-01","SEC_ROOM_A","CARD","TX-SEC-000001"
"2024-09-02 18:10:30","ห้องควบคุมความปลอดภัย A","OUT",true,,"ดาบตำรวจ วิรัช","SECURITY","SEC-A-01","Reader-SecA-01","SEC_ROOM_A","CARD","TX-SEC-000002"
"2024-09-02 23:45:12","ห้องควบคุมความปลอดภัย A","IN",true,,"สิบตำรวจตรี ก้องภพ","SECURITY","SEC-A-01","Reader-SecA-02","SEC_ROOM_A","CARD","TX-SEC-000003"
"2024-09-02 23:47:55","ห้องควบคุมความปลอดภัย A","OUT",true,,"สิบตำรวจตรี ก้องภพ","SECURITY","SEC-A-01","Reader-SecA-02","SEC_ROOM_A","CARD","TX-SEC-000004"
"2024-09-03 01:12:09","ห้องควบคุมความปลอดภัย A","IN",false,"UNAUTHORIZED AREA","สุทธิชัย ผู้เยี่ยม","VISITOR","SEC-A-01","Reader-SecA-01","VIS_TEMP","CARD","TX-SEC-000005"
"2024-09-03 01:13:21","ห้องควบคุมความปลอดภัย A","IN",false,"INVALID CARD","พนักงานชั่วคราว 02","CONTRACTOR","SEC-A-01","Reader-SecA-01","TEMP_CONTRACT","CARD","TX-SEC-000006"
"2024-09-03 10:02:33","ห้องควบคุมความปลอดภัย B","IN",true,,"ร.ต.อ. ชาญชัย","SECURITY","SEC-B-02","Reader-SecB-01","SEC_ROOM_B","CARD","TX-SEC-000007"
"2024-09-03 12:15:44","ห้องควบคุมความปลอดภัย B","OUT",true,,"ร.ต.อ. ชาญชัย","SECURITY","SEC-B-02","Reader-SecB-01","SEC_ROOM_B","CARD","TX-SEC-000008"
"2024-09-03 22:10:01","ห้องควบคุมความปลอดภัย B","IN",false,"NO OFF-HOUR PERMISSION","สมปอง ใจดี","EMPLOYEE","SEC-B-02","Reader-SecB-02","EMP_GENERAL","CARD","TX-SEC-000009"
"2024-09-03 23:20:00","ห้องควบคุมความปลอดภัย B","IN",true,,"พนักงานเวรดึก","EMPLOYEE","SEC-B-02","Reader-SecB-02","EMP_SPECIAL","CARD","TX-SEC-000013"
"2024-09-04 08:30:00","ห้องควบคุมความปลอดภัย C","IN",true,,"สิบตำรวจตรี ศิริพล","SECURITY","SEC-C-03","Reader-SecC-01","SEC_ROOM_C","CARD","TX-SEC-000010"
"2024-09-04 18:32:40","ห้องควบคุมความปลอดภัย C","OUT",true,,"สิบตำรวจตรี ศิริพล","SECURITY","SEC-C-03","Reader-SecC-01","SEC_ROOM_C","CARD","TX-SEC-000011"
"2024-09-04 23:59:59","ห้องควบคุมความปลอดภัย C","IN",false,"INVALID PIN","Visitor 99","VISITOR","SEC-C-03","Reader-SecC-02","VIS_TEMP","PIN","TX-SEC-000012"
